indx,long_name,indx_name,prd,unt,definition,org_indx,description,timescale
cdd,Consecutive Dry Days,Consecutive Dry Days,ANN,days,Maximum number of consecutive dry days (when PR < 1 ),CDD (cdd),Longest dry spell,Ann
cddcold18,Cooling Degree Days,Cooling Degree Days,ANN,degree-days,"Annual sum of TM - n (where n , n = 18)",CDDcoldn (cddcold18),A measure of the energy demand needed to cool a building,Ann
csdi,Cold spell duration indicator,Cold spell duration indicator,ANN,days,Annual number of days contributing to events where 6 or more consecutive days experience TN < 10th percentile,CSDI (csdi),Number of days contributing to a cold period (where the period has to be at least 6 days long),Ann
csdi5,User-defined CSDI,User-defined CSDI,ANN,days,Annual number of days contributing to events where d or more consecutive days experience TN < 10th percentile,CSDId (csdi5),Number of days contributing to a cold period (where the minimum length is 5),Ann
cwd,Consecutive Wet Days,Consecutive Wet Days,ANN,days,Maximum annual number of consecutive wet days (when PR >= 1),CWD (cwd),The longest wet spell,Ann
dtr,Daily Temperature Range,Daily Temperature Range,ANN,degrees_C,Mean difference between daily TX and daily TN,DTR (dtr),Average range of maximum and minimum temperature,Mon/Ann
dtr,Daily Temperature Range,Daily Temperature Range,MON,degrees_C,Mean difference between daily TX and daily TN,DTR (dtr),Average range of maximum and minimum temperature,Mon/Ann
fd,Frost Days,Frost Days,ANN,days,Number of days when TN < 0 C,FD (fd),Days when minimum temperature is below 0C,Mon/Ann
fd,Frost Days,Frost Days,MON,days,Number of days when TN < 0 C,FD (fd),Days when minimum temperature is below 0C,Mon/Ann
gddgrow10,Growing Degree Days,Growing Degree Days,ANN,degree-days,Annual sum of TM - n (where n is a user-defined location-specific base temperature and TM > n),GDDgrown (gddgrow10),A measure of heat accumulation to predict plant and animal developmental rates,Ann
gsl,Growing Season Length,Growing Season Length,ANN,days,Annual length of days plant can growth,GSL (gsl),Length of time in which plants can grow (Annual number of days between the first occurrence of 6 consecutive days with TM > 5 degrees_C and the first occurrence of 6 consecutive days with TM < 5 C),Ann
hddheat18,Heating Degree Days,Heating Degree Days,ANN,degree-days,Annual sum of n - TM (where n is a user-defined location-specific base temperature and TM < n),HDDheatn (hddheat18),A measure of the energy demand needed to heat a building,Ann
hwm_tx90,Heatwave magnitude for Tx90 heatwaves,Heatwave magnitude for Tx90 heatwaves,ANN,degC,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwm_tn90,Heatwave magnitude for Tn90 heatwaves,Heatwave magnitude for Tn90 heatwaves,ANN,degC,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwm_ehf,Heatwave magnitude for EHF heatwaves,Heatwave magnitude for EHF heatwaves,ANN,degC^2,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
cwm_ecf,Coldwave magnitude for ECF coldwaves ,Coldwave magnitude for ECF coldwaves ,ANN,degC^2,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwa_tx90,Heatwave amplitude for Tx90 heatwaves ,Heatwave amplitude for Tx90 heatwaves ,ANN,degC,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwa_tn90,Heatwave amplitude for Tn90 heatwaves ,Heatwave amplitude for Tn90 heatwaves ,ANN,degC,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwa_ehf,Heatwave amplitude for EHF heatwaves ,Heatwave amplitude for EHF heatwaves ,ANN,degC^2,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
cwa_ecf,Coldwave amplitude for ECF coldwaves ,Coldwave amplitude for ECF coldwaves ,ANN,degC^2,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwn_tx90,Heatwave number for Tx90 heatwaves ,Heatwave number for Tx90 heatwaves ,ANN,heatwaves,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwn_tn90,Heatwave number for Tn90 heatwaves ,Heatwave number for Tn90 heatwaves ,ANN,heatwaves,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwn_ehf,Heatwave number for EHF heatwaves ,Heatwave number for EHF heatwaves ,ANN,heatwaves,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
cwn_ecf,Coldwave number for ECF coldwaves ,Coldwave number for ECF coldwaves ,ANN,heatwaves,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwd_tx90,Heatwave duration for Tx90 heatwaves ,Heatwave duration for Tx90 heatwaves ,ANN,days,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwd_tn90,Heatwave duration for Tn90 heatwaves ,Heatwave duration for Tn90 heatwaves ,ANN,days,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwd_ehf,Heatwave duration for EHF heatwaves ,Heatwave duration for EHF heatwaves ,ANN,days,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
cwd_ecf,Coldwave duration for ECF coldwaves ,Coldwave duration for ECF coldwaves ,ANN,days,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwf_tx90,Heatwave frequency for Tx90 heatwaves ,Heatwave frequency for Tx90 heatwaves ,ANN,days,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwf_tn90,Heatwave frequency for Tn90 heatwaves ,Heatwave frequency for Tn90 heatwaves ,ANN,days,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwf_ehf,Heatwave frequency for EHF heatwaves ,Heatwave frequency for EHF heatwaves ,ANN,days,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
cwf_ecf,Coldwave frequency for ECF coldwaves ,Coldwave frequency for ECF coldwaves ,ANN,days,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
id,Ice Days,Ice Days,ANN,days,Number of days when TX < 0 C,ID (id),Days when maximum temperature is below 0C,Mon/Ann
id,Ice Days,Ice Days,MON,days,Number of days when TX < 0 C,ID (id),Days when maximum temperature is below 0C,Mon/Ann
prcptot,Annual total wet-day PR,Annual total wet-day precipitation,ANN,mm,Sum of daily PR >= 1,PRCPTOT (prcptot),Total wet-day rainfall,Mon/Ann
prcptot,Annual total wet-day PR,Annual total wet-day precipitation,MON,mm,Sum of daily PR >= 1,PRCPTOT (prcptot),Total wet-day rainfall,Mon/Ann
r10mm,Number of heavy rain days,Number of heavy rain days,ANN,days,Number of days when PR >= 10 mm,R10mm (r10mm),Days when rainfall is at least 10mm,Mon/Ann
r10mm,Number of heavy rain days,Number of heavy rain days,MON,days,Number of days when PR >= 10 mm,R10mm (r10mm),Days when rainfall is at least 10mm,Mon/Ann
r20mm,Number of very heavy rain days,Number of very heavy rain days,ANN,days,Number of days when PR >= 20 mm,R20mm (r20mm),Days when rainfall is at least 20mm,Mon/Ann
r20mm,Number of very heavy rain days,Number of very heavy rain days,MON,days,Number of days when PR >= 20 mm,R20mm (r20mm),Days when rainfall is at least 20mm,Mon/Ann
r30mm,Number of customised rain days,Number of customised rain days,ANN,days,Number of days when PR >= nn,Rnnmm (r30mm),Days when rainfall is at least a user-specified number of mm,Mon/Ann
r30mm,Number of customised rain days,Number of customised rain days,MON,days,Number of days when PR >= nn,Rnnmm (r30mm),Days when rainfall is at least a user-specified number of mm,Mon/Ann
r95p,Total annual PR from heavy rain days,Total annual precipitation from heavy rain days,ANN,mm,Annual sum of daily PR > 95th percentile,R95p (r95p),Amount of rainfall from very wet days,Ann
r95ptot,Contribution from very wet days,Contribution from very wet days,ANN,%,100*r95p / PRCPTOT,R95pTOT (r95ptot),Fraction of total wet-day rainfall that comes from very wet days,Ann
r99p,Total annual PR from very heavy rain days,Total annual precipitation from very heavy rain days,ANN,mm,Annual sum of daily PR > 99th percentile,R99p (r99p),Amount of rainfall from extremely wet days,Ann
r99ptot,Contribution from extremely wet days,Contribution from extremely wet days,ANN,%,100*r99p / PRCPTOT,R99pTOT (r99ptot),Fraction of total wet-day rainfall that comes from extremely wet days,Ann
rx1day,Max 1-day precipitation,Max 1-day precipitation,ANN,mm,Maximum 1-day PR total,Rx1day (rx1day),Maximum amount of rain that falls in one day,Mon/Ann
day_of_rx1day,Max 1-day precipitation,Max 1-day precipitation,ANN,calendar day,Maximum 1-day PR total,Rx1day (rx1day),Maximum amount of rain that falls in one day,Mon/Ann
rx1day,Max 1-day precipitation,Max 1-day precipitation,MON,mm,Maximum 1-day PR total,Rx1day (rx1day),Maximum amount of rain that falls in one day,Mon/Ann
day_of_rx1day,Max 1-day precipitation,Max 1-day precipitation,MON,calendar day,Maximum 1-day PR total,Rx1day (rx1day),Maximum amount of rain that falls in one day,Mon/Ann
rx5day,Max 5-day precipitation,Max 5-day precipitation,ANN,mm,Maximum 5-day PR total,Rx5day (rx5day),Maximum amount of rain that falls in five consecutive days,Mon/Ann
day_of_rx5day,Max 5-day precipitation,Max 5-day precipitation,ANN,calendar day,Maximum 5-day PR total,Rx5day (rx5day),Maximum amount of rain that falls in five consecutive days,Mon/Ann
rx5day,Max 5-day precipitation,Max 5-day precipitation,MON,mm,Maximum 5-day PR total,Rx5day (rx5day),Maximum amount of rain that falls in five consecutive days,Mon/Ann
day_of_rx5day,Max 5-day precipitation,Max 5-day precipitation,MON,calendar day,Maximum 5-day PR total,Rx5day (rx5day),Maximum amount of rain that falls in five consecutive days,Mon/Ann
rx7day,User-defined consecutive days PR amount,User-defined consecutive days PR amount,ANN,mm,Maximum d-day PR total,RXdday (rx7day),Maximum amount of rain that falls in a user-specified period i,Mon/Ann
day_of_rx7day,User-defined consecutive days PR amount,User-defined consecutive days PR amount,ANN,calendar day,Maximum d-day PR total,RXdday (rx7day),Maximum amount of rain that falls in a user-specified period i,Mon/Ann
rx7day,User-defined consecutive days PR amount,User-defined consecutive days PR amount,MON,mm,Maximum d-day PR total,RXdday (rx7day),Maximum amount of rain that falls in a user-specified period i,Mon/Ann
day_of_rx7day,User-defined consecutive days PR amount,User-defined consecutive days PR amount,MON,calendar day,Maximum d-day PR total,RXdday (rx7day),Maximum amount of rain that falls in a user-specified period i,Mon/Ann
sdii,Daily precipitation intensity,Daily precipitation intensity,ANN,mm/day,Annual total PR divided by the number of wet days (when total PR >= 1 ),SDII (sdii),Average daily wet-day rainfall intensity,Ann
spei_3mon,Standardised Precipitation Evapotranspiration Index,Standardised Precipitation Evapotranspiration Index,MON,unitless,Standardised Precipitation Evapotranspiration Index,SPEI (spei),Measure of 'drought' using the Standardised Precipitation Evapotranspiration Index on time scales of 3 months 6 months and 12 months,Mon
spei_6mon,Standardised Precipitation Evapotranspiration Index,Standardised Precipitation Evapotranspiration Index,MON,unitless,Standardised Precipitation Evapotranspiration Index,SPEI (spei),Measure of 'drought' using the Standardised Precipitation Evapotranspiration Index on time scales of 3 months 6 months and 12 months,Mon
spei_12mon,Standardised Precipitation Evapotranspiration Index,Standardised Precipitation Evapotranspiration Index,MON,unitless,Standardised Precipitation Evapotranspiration Index,SPEI (spei),Measure of 'drought' using the Standardised Precipitation Evapotranspiration Index on time scales of 3 months 6 months and 12 months,Mon
spi_3mon,Standardised Precipitation Index,Standardised Precipitation Index,MON,unitless,Standardised Precipitation Index,SPI (spi),Measure of 'drought' using the Standardised Precipitation Index on time scales of 3  months 6 months and 12 months,Mon
spi_6mon,Standardised Precipitation Index,Standardised Precipitation Index,MON,unitless,Standardised Precipitation Index,SPI (spi),Measure of 'drought' using the Standardised Precipitation Index on time scales of 3  months 6 months and 12 months,Mon
spi_12mon,Standardised Precipitation Index,Standardised Precipitation Index,MON,unitless,Standardised Precipitation Index,SPI (spi),Measure of 'drought' using the Standardised Precipitation Index on time scales of 3  months 6 months and 12 months,Mon
su,Summer days,Summer days,ANN,days,Number of days when TX > 25 C,SU (su),Days when maximum temperature exceeds 25C,Mon/Ann
su,Summer days,Summer days,MON,days,Number of days when TX > 25 C,SU (su),Days when maximum temperature exceeds 25C,Mon/Ann
tmge10,Mean temperature of at least 10C,Mean temperature of at least 10C,ANN,days,Number of days when TM >= 10 C,TMge10 (tmge10),Days when average temperature is at least 10C,Mon/Ann
tmge10,Mean temperature of at least 10C,Mean temperature of at least 10C,MON,days,Number of days when TM >= 10 C,TMge10 (tmge10),Days when average temperature is at least 10C,Mon/Ann
tmge5,Mean temperature of at least 5C,Mean temperature of at least 5C,ANN,days,Number of days when TM >= 5 C,TMge5 (tmge5),Days when average temperature is at least 5C,Mon/Ann
tmge5,Mean temperature of at least 5C,Mean temperature of at least 5C,MON,days,Number of days when TM >= 5 C,TMge5 (tmge5),Days when average temperature is at least 5C,Mon/Ann
tmlt10,Mean temperature below 10C,Mean temperature below 10C,ANN,days,Number of days when TM < 10 C,TMlt10 (tmlt10),Days when average temperature is below 10C,Mon/Ann
tmlt10,Mean temperature below 10C,Mean temperature below 10C,MON,days,Number of days when TM < 10 C,TMlt10 (tmlt10),Days when average temperature is below 10C,Mon/Ann
tmlt5,Mean temperature below 5C,Mean temperature below 5C,ANN,days,Number of days when TM < 5 C,TMlt5 (tmlt5),Days when average temperature is below 5C,Mon/Ann
tmlt5,Mean temperature below 5C,Mean temperature below 5C,MON,days,Number of days when TM < 5 C,TMlt5 (tmlt5),Days when average temperature is below 5C,Mon/Ann
tmm,Mean daily mean temperature,Mean daily mean temperature,ANN,degrees_C,Mean daily mean temperature,TMm (tmm),Average daily temperature,Mon/Ann
tmm,Mean daily mean temperature,Mean daily mean temperature,MON,degrees_C,Mean daily mean temperature,TMm (tmm),Average daily temperature,Mon/Ann
tn10p,Amount of cold nights,Amount of cold nights,ANN,%,Percentage of days when TN < 10th percentile,TN10p (tn10p),Fraction of days with cold night time temperatures,Ann
tn10p,Amount of cold nights,Amount of cold nights,MON,%,Percentage of days when TN < 10th percentile,TN10p (tn10p),Fraction of days with cold night time temperatures,Ann
tn90p,Amount of warm nights,Amount of warm nights,ANN,%,Percentage of days when TN > 90th percentile,TN90p (tn90p),Fraction of days with warm night time temperatures,Ann
tn90p,Amount of warm nights,Amount of warm nights,MON,%,Percentage of days when TN > 90th percentile,TN90p (tn90p),Fraction of days with warm night time temperatures,Ann
tnlt2,Minimum temperature below 2C,Minimum temperature below 2C,ANN,days,Number of days when TN < 2 C,TNlt2 (tnlt2),Days when minimum temperature is below 2C,Mon/Ann
tnlt2,Minimum temperature below 2C,Minimum temperature below 2C,MON,days,Number of days when TN < 2 C,TNlt2 (tnlt2),Days when minimum temperature is below 2C,Mon/Ann
tnltm2,Minimum temperature below -2C,Minimum temperature below -2C,ANN,days,Number of days when TN < -2 C,TNltm2 (tnltm2),Days when minimum temperature is below -2C,Mon/Ann
tnltm2,Minimum temperature below -2C,Minimum temperature below -2C,MON,days,Number of days when TN < -2 C,TNltm2 (tnltm2),Days when minimum temperature is below -2C,Mon/Ann
tnltm20,Minimum temperature below -20C,Minimum temperature below -20C,ANN,days,Number of days when TN < -20 C,TNltm20 (tnltm20),Days when minimum temperature is below -20C,Mon/Ann
tnltm20,Minimum temperature below -20C,Minimum temperature below -20C,MON,days,Number of days when TN < -20 C,TNltm20 (tnltm20),Days when minimum temperature is below -20C,Mon/Ann
tnm,Mean daily minimum temperature,Mean daily minimum temperature,ANN,degrees_C,Mean daily minimum temperature,TNm (tnm),Average daily minimum temperature,Mon/Ann
tnm,Mean daily minimum temperature,Mean daily minimum temperature,MON,degrees_C,Mean daily minimum temperature,TNm (tnm),Average daily minimum temperature,Mon/Ann
tnn,Min daily minimum temperature,Min daily minimum temperature,ANN,degrees_C,Coldest daily TN,TNn (tnn),Coldest night,Mon/Ann
day_of_tnn,Min daily minimum temperature,Min daily minimum temperature,ANN,calendar day,Coldest daily TN,TNn (tnn),Coldest night,Mon/Ann
tnn,Min daily minimum temperature,Min daily minimum temperature,MON,degrees_C,Coldest daily TN,TNn (tnn),Coldest night,Mon/Ann
day_of_tnn,Min daily minimum temperature,Min daily minimum temperature,MON,calendar day,Coldest daily TN,TNn (tnn),Coldest night,Mon/Ann
tnx,Max daily minimum temperature,Max daily minimum temperature,ANN,degrees_C,Warmest daily TN,TNx (tnx),Hottest night,Mon/Ann
day_of_tnx,Max daily minimum temperature,Max daily minimum temperature,ANN,calendar day,Warmest daily TN,TNx (tnx),Hottest night,Mon/Ann
tnx,Max daily minimum temperature,Max daily minimum temperature,MON,degrees_C,Warmest daily TN,TNx (tnx),Hottest night,Mon/Ann
day_of_tnx,Max daily minimum temperature,Max daily minimum temperature,MON,calendar day,Warmest daily TN,TNx (tnx),Hottest night,Mon/Ann
tr,Tropical nights,Tropical nights,ANN,days,Number of days when TN > 20 C,TR (tr),Days when minimum temperature exceeds 20C,Mon/Ann
tr,Tropical nights,Tropical nights,MON,days,Number of days when TN > 20 C,TR (tr),Days when minimum temperature exceeds 20C,Mon/Ann
tx10p,Amount of cool days,Amount of cool days,ANN,%,Percentage of days when TX < 10th percentile,TX10p (tx10p),Fraction of days with cool day time temperatures,Ann
tx10p,Amount of cool days,Amount of cool days,MON,%,Percentage of days when TX < 10th percentile,TX10p (tx10p),Fraction of days with cool day time temperatures,Ann
tx3tn3,User-defined consecutive number of hot days and nights,User-defined consecutive number of hot days and nights,ANN,events,"Annual count of d consecutive days where both TX > 95th percentile and TN > 95th percentile, where 10 >= d >= 2",TXdTNd (tx3tn3),Total consecutive hot days and hot nights (where consecutive periods are 3 days),Ann
tx90p,Amount of hot days,Amount of hot days,ANN,%,Percentage of days when TX > 90th percentile,TX90p (tx90p),Fraction of days with hot day time temperatures,Ann
tx90p,Amount of hot days,Amount of hot days,MON,%,Percentage of days when TX > 90th percentile,TX90p (tx90p),Fraction of days with hot day time temperatures,Ann
tx95t,Very warm day threshold,Value of 95th percentile of maximum temperature,DAY,degrees_C,Value of 95th percentile of TX,TX95t (tx95t),Daily Value of 95th percentile of TX,Daily
txb3tnb3,User-defined consecutive number of cold days and Nights,User-defined consecutive number of cold days and nights,ANN,events,"Annual number of d consecutive days where both TX < 5th percentile and TN < 5th percentile, where 10 >= d >=2",TXbdTNbd (txb3tnb3),Total consecutive cold days and cold nights (where consecutive periods are 3 days),Ann
txge30,TX of at least 30 degrees_C,Maximum temperature of at least 30C,ANN,days,Number of days when TX >= 30 C,TXge30 (txge30),Days when maximum temperature is at least 30C,Mon/Ann
txge30,TX of at least 30 degrees_C,Maximum temperature of at least 30C,MON,days,Number of days when TX >= 30 C,TXge30 (txge30),Days when maximum temperature is at least 30C,Mon/Ann
txge35,TX of at least 35 degrees_C,Maximum temperature of at least 35C,ANN,days,Number of days when TX >= 35 C,TXge35 (txge35),Days when maximum temperature is at least 35C,Mon/Ann
txge35,TX of at least 35 degrees_C,Maximum temperature of at least 35C,MON,days,Number of days when TX >= 35 C,TXge35 (txge35),Days when maximum temperature is at least 35C,Mon/Ann
txgt50p,Fraction of days with above average temperature,Fraction of days with temperatures above the median,ANN,%,Percentage of days where TX > 50th percentile,TXgt50p (txgt50p),Fraction of days with above-median temperature,Mon/Ann
txgt50p,Fraction of days with above average temperature,Fraction of days with temperatures above the median,MON,%,Percentage of days where TX > 50th percentile,TXgt50p (txgt50p),Fraction of days with above-median temperature,Mon/Ann
txm,Mean daily maximum temperature,Mean daily maximum temperature,ANN,degrees_C,Mean daily maximum temperature,TXm (txm),Average daily maximum temperature,Mon/Ann
txm,Mean daily maximum temperature,Mean daily maximum temperature,MON,degrees_C,Mean daily maximum temperature,TXm (txm),Average daily maximum temperature,Mon/Ann
txn,Min daily maximum temperature,Min daily maximum temperature,ANN,degrees_C,Coldest daily TX,TXn (txn),Coldest day,Mon/Ann
day_of_txn,Min daily maximum temperature,Min daily maximum temperature,ANN,calendar day,Coldest daily TX,TXn (txn),Coldest day,Mon/Ann
txn,Min daily maximum temperature,Min daily maximum temperature,MON,degrees_C,Coldest daily TX,TXn (txn),Coldest day,Mon/Ann
day_of_txn,Min daily maximum temperature,Min daily maximum temperature,MON,calendar day,Coldest daily TX,TXn (txn),Coldest day,Mon/Ann
txx,Max daily maximum temperature,Max daily maximum temperature,ANN,degrees_C,Warmest daily TX,TXx (txx),Hottest day,Mon/Ann
day_of_txx,Max daily maximum temperature,Max daily maximum temperature,ANN,calendar day,Warmest daily TX,TXx (txx),Hottest day,Mon/Ann
txx,Max daily maximum temperature,Max daily maximum temperature,MON,degrees_C,Warmest daily TX,TXx (txx),Hottest day,Mon/Ann
day_of_txx,Max daily maximum temperature,Max daily maximum temperature,MON,calendar day,Warmest daily TX,TXx (txx),Hottest day,Mon/Ann
wsdi,Warm spell duration indicator,Warm spell duration indicator,ANN,days,Annual number of days contributing to events where 6 or more consecutive days experience TX > 90th percentile,WSDI (wsdi),Number of days contributing to a warm period (where the period has to be at least 6 days long),Ann
wsdi5,User-defined WSDI,User-defined WSDI,ANN,days,Annual number of days contributing to events where d or more consecutive days experience TX > 90th percentile,WSDId (wsdi5),Number of days contributing to a warm period (where the minimum length is 5),Ann
